,count,unique,top,freq,mean,std,min,25%,50%,75%,max
row_id,100.0,,,,20452.58,10982.043163457354,9467.0,9526.5,20209.0,31391.25,31872.0
subject_id,100.0,,,,26162.33,16201.834705344112,10006.0,10068.5,25128.0,42276.5,44228.0
gender,100,2,F,55,,,,,,,
dob,100,99,2058-04-23 00:00:00,2,,,,,,,
dod,100,100,2165-08-12 00:00:00,1,,,,,,,
dod_hosp,70,70,2165-08-12 00:00:00,1,,,,,,,
dod_ssn,77,77,2165-08-12 00:00:00,1,,,,,,,
expire_flag,100.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
num_diagnoses,100.0,,,,17.61,26.827505484205023,3.0,9.0,13.0,18.0,266.0
num_icu_stays,100.0,,,,1.36,1.4738117967098827,1.0,1.0,1.0,1.0,15.0
num_prescriptions,100.0,,,,103.98,154.0438728008185,0.0,35.75,65.0,106.75,1158.0
